vehicle_id;type;max_capacity_kg;fuel_type;emission_g_co2_per_km
V001;truck;7156;diesel;300
V002;truck;7319;diesel;300
V003;truck;4674;diesel;300
V004;bike;33;electric;0
V005;van;1102;electric;0
V006;truck;5317;diesel;300
V007;bike;32;electric;0
V008;bike;45;electric;0
V009;bike;49;electric;0
V010;van;816;diesel;180
V011;truck;6619;diesel;300
V012;truck;6830;diesel;300
V013;bike;48;electric;0
V014;truck;6393;diesel;300
V015;bike;36;electric;0
V016;bike;32;electric;0
V017;van;815;electric;0
V018;bike;32;electric;0
V019;bike;41;electric;0
V020;bike;34;electric;0
